,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_loss,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.23731093406677245,0.0077552363992120605,0.0017951488494873046,0.00039904486171923024,friedman_mse,0.05,squared_error,5,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'squared_error', 'n_estimators': 5}",0.38660079048440155,0.3630187738240067,0.3559139295623046,0.36506048045382133,0.36170713790691944,0.36646022244629073,0.010519139065496761,36
1,0.5217353343963623,0.024137191524950873,0.0028110027313232424,0.0005089290919655579,friedman_mse,0.05,squared_error,10,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'squared_error', 'n_estimators': 10}",0.6175775246440911,0.5825596810625413,0.5754763084062788,0.5851493863166768,0.5833013540794663,0.5888128509018109,0.014752420304905596,29
2,0.8872685432434082,0.029870557846272447,0.0032062530517578125,0.00026373242057281656,friedman_mse,0.05,squared_error,15,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'squared_error', 'n_estimators': 15}",0.7513742675798069,0.7130548394850686,0.7120870142016582,0.715985760563612,0.7150787199253316,0.7215161203510955,0.014993567128760203,23
3,0.37476201057434083,0.028061554910827877,0.002725362777709961,0.0005295820757869437,friedman_mse,0.05,absolute_error,5,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'absolute_error', 'n_estimators': 5}",-0.006193589110307762,-0.009681352688157174,-0.007902727474726534,-0.009371092892863198,-0.006297966944204925,-0.007889345822051919,0.0014707222454928327,71
4,0.7772161960601807,0.024899913971562115,0.004406976699829102,0.0011820165245087658,friedman_mse,0.05,absolute_error,10,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'absolute_error', 'n_estimators': 10}",0.0042782934555164465,-0.0030935325797256663,-0.001938737136818025,-0.0011514929691633924,0.0006732265256824688,-0.00024644854090163373,0.002573244100172731,69
5,1.1493833541870118,0.02441897007597666,0.004704332351684571,0.0006183685710432284,friedman_mse,0.05,absolute_error,15,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'absolute_error', 'n_estimators': 15}",0.014458713210169227,0.0057734640682864935,0.006605842320265509,0.00609721210988412,0.010881562686971935,0.008763358879115456,0.003394894272418126,61
6,0.4107818126678467,0.004223552168346871,0.002725505828857422,0.0004079572385722644,friedman_mse,0.05,huber,5,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'huber', 'n_estimators': 5}",0.005287468649368576,-5.738609579042375e-05,0.00026718045825968595,0.0003840348178107966,0.004383158093877126,0.0020528911847051525,0.0022943299595015705,65
7,0.8047389984130859,0.025269980010406336,0.004545259475708008,0.0011613307109660865,friedman_mse,0.05,huber,10,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'huber', 'n_estimators': 10}",0.026229275661371787,0.016091751509726526,0.013913231788298619,0.0176895037580046,0.022830230141708485,0.019350798571822002,0.0045247831297782785,55
8,1.2127786159515381,0.03035811248997343,0.005186843872070313,0.0003986163396936361,friedman_mse,0.05,huber,15,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'huber', 'n_estimators': 15}",0.0394425091014633,0.028240867464772168,0.029024970058035282,0.030452666926027216,0.03582762372882642,0.03259772745582488,0.00432738661994534,53
9,0.3912394046783447,0.012002706001553301,0.0021950721740722655,0.0003983073443714631,friedman_mse,0.05,quantile,5,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'quantile', 'n_estimators': 5}",0.3316067818901314,0.37115934787575866,0.33657153727079336,0.2869486814116903,0.32163054362539434,0.3295833784147536,0.027064569947345195,37
10,0.7371005058288574,0.012617287600870795,0.0033063888549804688,0.0004083256289828354,friedman_mse,0.05,quantile,10,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'quantile', 'n_estimators': 10}",0.6120110532871177,0.6215216471177359,0.5970440212599996,0.5756335138007131,0.5879351651108518,0.5988290801152836,0.016423246510711528,25
11,1.1081489086151124,0.03311866172726573,0.003999567031860352,0.0005370801645431336,friedman_mse,0.05,quantile,15,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'quantile', 'n_estimators': 15}",0.7644684596847712,0.7629494287918156,0.7476724168998964,0.7364581218403579,0.7412364857087954,0.7505569825851273,0.011323181298505326,17
12,0.33046984672546387,0.006845899668268867,0.0025931358337402343,0.0004888895741818332,friedman_mse,0.1,squared_error,5,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'squared_error', 'n_estimators': 5}",0.6269605832603391,0.5917568793284786,0.5848605063461476,0.5941347331537905,0.5936662900523301,0.5982757984282172,0.014721951214534994,28
13,0.6634634971618653,0.013213495705347088,0.0029063701629638674,0.0005139565237731877,friedman_mse,0.1,squared_error,10,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'squared_error', 'n_estimators': 10}",0.8332605235841208,0.7993792464419928,0.8021551456374381,0.8019317149576828,0.8052648430075819,0.8083982947257633,0.012570487181143846,15
14,0.9684587001800538,0.028198168204669666,0.003190898895263672,0.0003995193326452153,friedman_mse,0.1,squared_error,15,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'squared_error', 'n_estimators': 15}",0.9004764295296903,0.875723246923065,0.8859244741323353,0.878277807307781,0.8869320562340216,0.8854668028253787,0.008651749679146828,9
